## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.brand,entity.priceDisplayValue,entity.priceCurrency,entity.buyable,entity.showable,entity.status,entity.releaseData,entity.title
PXX875D34E,Ankastre Induksiyonlu Ocak,VentingHobs,Venting cooktop,https://media3.bosch-home.com/Product_Shots/600x600/MCSA01757168_PXX875D34E_ElectricHob_Bosch_STP_def.png,18910,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/ocaklar/havalandirmali-ocaklar/PXX875D34E,5,100,BOSCH,18.910-00 TL,TRY,true,true,inStock,2018-02-28T23:00:00Z,Serie | 8
PXX975KW1E,Elektrikli ocak,Hobs,Ocaklar,https://media3.bosch-home.com/Product_Shots/600x600/MCSA01731370_1173284_PXX975KW1E_def.png,14943,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/ocaklar/induksiyonlu-ocaklar/PXX975KW1E,0,100,BOSCH,14.943-00 TL,TRY,false,true,outOfStock,2017-12-31T23:00:00Z,Serie | 8
CTL636ES6,AnkastreTam Otomatik Kahve Makinesi,Built-inCoffeeMachine,Ankastre kahve makinesi,https://media3.bosch-home.com/Product_Shots/600x600/MCSA01010474_632853_CTL636ES6_def.png,14445,https://www.bosch-home.com.tr/urun-listesi/kahve-makineleri/ankastre-tam-otomatik-kahve-makineleri/CTL636ES6,2,100,BOSCH,14.445-00 TL,TRY,true,true,inStock,2018-01-08T23:00:00Z,AnkastreTam Otomatik Kahve Makinesi
HRG636XS7,Fırın,Ovens,Ankastre fırınlar,https://media3.bosch-home.com/Product_Shots/600x600/MCSA00780728_426550_HSG636XS6_def.png,13963,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/ankastre-firinlar/ankastre-firinlar/HRG636XS7,2,100,BOSCH,13.963-00 TL,TRY,true,true,inStock,2019-02-10T23:00:00Z,Serie | 8-Inox
HMG656RS1,Mikrodalgalı ankastre fırın,Microwave_Ovens,Mikrodalgalar,https://media3.bosch-home.com/Product_Shots/600x600/MCSA00766690_411043_HMG636BS1_def.png,12203,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/ankastre-firinlar/ankastre-firinlar/HMG656RS1,27,100,BOSCH,12.203-00 TL,TRY,true,true,inStock,2015-03-31T22:00:00Z,Serie | 8-800 W-Inox
PXX975DC1E,Elektrikli ocak,Hobs,Ocaklar,https://media3.bosch-home.com/Product_Shots/600x600/MCSA01004331_625824_PXX975DC1E_def.png,11652,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/ocaklar/induksiyonlu-ocaklar/PXX975DC1E,0,100,BOSCH,11.652-00 TL,TRY,false,true,outOfStock,2016-02-29T23:00:00Z,Serie | 8
HBG6767S1,Fırın,Ovens,Ankastre fırınlar,https://media3.bosch-home.com/Product_Shots/600x600/MCSA00766674_411035_HBG636BS1_def.png,11115,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/ankastre-firinlar/ankastre-firinlar/HBG6767S1,5,100,BOSCH,11.115-00 TL,TRY,true,true,inStock,2019-07-21T22:00:00Z,Serie | 8-Inox
DWK98JS69,eğimli davlumbaz,Hoods,Davlumbazlar,https://media3.bosch-home.com/Product_Shots/600x600/MCSA01743284_STP_DWK98JS69_1181734_def.png,9993,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/davlumbazlar-ve-aspiratorler/duvar-tipi-davlumbazlar/DWK98JS69,1,100,BOSCH,9.993-00 TL,TRY,true,true,inStock,2017-10-31T23:00:00Z,Serie | 6-DWK98JS69-Duvar tipi davlumbaz, 90 cm-Eğimli Davlumbaz
DWF97RV60,düz,Hoods,Davlumbazlar,https://media3.bosch-home.com/Product_Shots/600x600/MCSA01743310_STP_DWF97RV60_1181752_def.png,9993,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/davlumbazlar-ve-aspiratorler/duvar-tipi-davlumbazlar/DWF97RV60,2,100,BOSCH,9.993-00 TL,TRY,true,true,inStock,2017-03-07T23:00:00Z,Serie | 8
HBG656ES6,Fırın,Ovens,Ankastre fırınlar,https://media3.bosch-home.com/Product_Shots/600x600/MCSA01073497_662685_HBG676ES6_def.png,9917,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/ankastre-firinlar/ankastre-firinlar/HBG656ES6,6,100,BOSCH,9.917-00 TL,TRY,true,true,inStock,2016-10-02T22:00:00Z,Serie | 8-Inox-HomeConnect ile uzaktan erişim
